recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Kumbalakai Majjige Huli Recipe- Ash Gourd Buttermilk Curry,https://www.archanaskitchen.com/kumbalakai-majjige-huli-recipe-ash-gourd-buttermilk-curry,good,7897,4.9068000506521,"Kumbalakai Majjige Huli Recipe is a traditional South Indian recipe, a must for functions and festivals. It is a tangy curry made from buttermilk and coconut. This curry is usually made with water based vegetables like Bengaluru cucumber, white pumpkin, squash or snake guard. Okra is also a great vegetable that goes well in Majjige Huli. It is an authentic Karnataka recipe and you can find similar recipes across the south of India. Some make this recipe spicy and some make it less spicy with fewer ingredients. Serve Kumbalakai Majjige Huli Recipe Recipe with  ,  ,   and  . Explore more recipes with buttermilk here",Coastal Karnataka,Side Dish,Vegetarian,25 M,40 M,Vellai Poosanikai (Ash gourd/White Pumpkin)|Chana dal (Bengal Gram Dal)|Fresh coconut|Green Chillies|Ginger|Salt|Coconut Oil|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Asafoetida (hing)|Curry leaves|Curry leaves,"To begin making Kumbalakai Majjige Huli Recipe  first soak the chana dal in 1/4 cup of water for 20 minutes.|Steam the ash gourd either using the pressure cooker or a steamer. Follow |Add  the coconut, soaked chana dal, green chillies, ginger and salt into a mixer grinder and make a smooth paste.Keep aside.|In a |, stir together the cooked pumpkin and the ground coconut mixture. Stir in 1 cup of water, turn on the heat and allow the mixture to come to a boil.|The Majjige Huli will begin to thicken. At this point stir in the buttermilk and boil for another minute. Turn off the heat.|Now we will temper the Kumbalakai Majjige Huli |Heat oil in a small saucepan; add the mustard seeds and allow it to crackle.|Once the mustard seeds have crackled add cumin seeds and saute for 5 seconds, then add the curry leaves and asafoetida and turn off the heat. Add this tempering to the above Majjige Huli.|Serve Kumbalakai Majjige Huli Recipe with |, |, | and |.",Archana's Kitchen,Vegetarian Recipes|Indian Lunch Recipes|Healthy Recipes|Indian Diabetic Recipes|Dahi Recipes (Curd/Yogurt)|Chana Dal Recipes (Bengal Gram Dal)|Ash Gourd Recipes,Kuzhambu Recipes
Khara Avalakki Recipe (Karnataka Style Poha),https://www.archanaskitchen.com/khara-avalakki-karnataka-style-poha,good,2683,4.8281774133433,"Khara Avalakki Recipe (Karnataka Style Poha) is very popularly made for breakfast or a evening tiffin in Karnataka. It is a quick snack made from beaten rice that is spiced and flavored with coconut and an aromatic seasoning. Serve the Khara Avalakki along with a   or simply as it is along with a strong filter coffee.  If you like this breakfast recipe, you can also make other breakfasts like",Karnataka,South Indian Breakfast,Vegetarian,15 M,30 M,Poha (Flattened rice)|Onion|Ginger|Sunflower Oil|Mustard seeds|Chana dal (Bengal Gram Dal)|White Urad Dal (Split)|Turmeric powder (Haldi)|Asafoetida (hing)|Vangi Bath Powder|Salt|Fresh coconut|Lemon juice|Coriander (Dhania) Leaves|Curry leaves|Roasted Peanuts (Moongphali),"To begin making the Khara Avalakki Recipe (Karnataka Style Poha), wash the beaten rice under water and well. You can use a large strainer for washing and draining. After the wash, allow it to rest for about 10 minutes so that it gets softened.|Heat oil in a heavy bottomed pan; add in the mustard seeds and allow it to crackle. Stir in the channa and urad dal and roast them until they turn golden brown.|Stir in the chopped onions, and curry leaves and stir fry until the onions are tender.|Stir in the turmeric powder and asafoetida and saute for a few seconds. Finally add the flattened rice,salt, peanuts, and Vangi Bhat spice mixture. Combine well, cover the pan and simmer for a few more minutes. |Finally stir in the lemon juice, coconut and coriander leaves into the Khara Avalakki Recipe and serve hot. |Serve Khara Avalakki Recipe (Karnataka Style Poha) with | or simply as it is along with a strong filter coffee.",Archana's Kitchen,South Indian Recipes|Healthy Recipes|Breakfast Recipe Ideas|Gluten Free Recipes|South Indian Breakfast Recipes|Chana Dal Recipes (Bengal Gram Dal),Poha Recipes
पालक तौव्वे रेसिपी - Palak Tovve Recipe,https://www.archanaskitchen.com/palak-tovve-or-palak-dal-recipe-spinach-and-lentil-curry-in-hindi,good,143,4.8951048951049," जिसे पालक दाल भी कहा जाता है, एक स्वादिष्ट और सरल दाल रेसिपी है जिसमे पालक भी डाला जाता है. यह स्वादिष्ट तो है ही साथ में पोषण से भरपूर भी है. आप इसे अपने लंच बॉक्स में भी पैक कर सकते है.   को चावल,   और पापड़ के साथ दिन के खाने के लिए परोसे।  अगर आपको यह रेसिपी पसंद है, तो आप यह भी बना सकते है,  ",South Indian Recipes,Side Dish,High Protein Vegetarian,20 M,30 M,पालक|तुअर दाल|नारियल|हरी मिर्च|हरा धनिया|नमक|घी|राइ|जीरा|हींग|कढ़ी पत्ता,"पालक तौव्वे रेसिपी बनाने के लिए सबसे पहले तुअर दाल को 3 कप पानी, हल्दी पाउडर, नमक के साथ डाले और गैस बंद कर ले. 2 सिटी आने तक पका ले और गैस बंद कर ले.|अब एक सॉसपैन में पानी के साथ पालक डाले और पालक के नरम होने तक पका ले. पानी निकाल दे और गैस बंद कर ले. |अब एक मिक्सर ग्राइंडर में नारियल, हरा धनिया, हरी मिर्च, नमक, पानी डाले और पीस ले. पेस्ट को बाउल में निकाले और अलग से रख दे. |एक सॉसपैन में पकी हुए दाल डाले और अच्छी तरह से मैश करले। अब इसमें पका हुआ पालक और नारियल का पेस्ट डाले और मिला ले. थोड़ा सा पानी डाले और उबाल ले. |अब तड़के के लिए, एक छोटी कढ़ाई में घी गरम करें। इसमें राइ, जीरा डाले और 20 सेकण्ड्स के लिए पका ले. अब इसमें कढ़ी पत्ता, हींग डाले और 20 सेकण्ड्स के लिए पका ले. गैस बंद करें।|इस तड़के को दाल में डाले और कुछ समय के लिए मिला ले. गैस बंद कर ले. परोसे। पालक तौव्वे को चावल, | और पापड़ के साथ दिन के खाने के लिए परोसे।",Archana's Kitchen,South Indian Recipes|Indian Lunch Recipes|Spinach Recipes (Palak/Keerai)|Indian Diabetic Recipes|Indian Dinner Recipes,Indian Curry Recipes
Homemade Mango Ice Cream Recipe,https://www.archanaskitchen.com/mango-ice-cream-with-nutella,good,1641,4.8543570993297,"The Homemade Mango Ice cream Recipe is a simple quick and delicious ice cream that you can make at home, with fresh natural ingredients. When you make ice creams at home, you know what goes into the ice cream and makes it extra special for your family and friends. Serve the homemade mango ice cream for parties and your friends are sure to love this delight. Though you can just devour this ice cream anytime as a dessert, you can serve Homemade Mango Ice Cream Recipe with   for a gathering during tea time. If you like this recipe, here are more ice cream recipes to make in your own kitchen",Continental,Dessert,Vegetarian,30 M,0 M,Mango (Ripe)|Fresh cream|Milk|Condensed Milk,"To begin making the Homemade Mango Ice Cream Recipe, make a smooth puree of the mangoes.|In a large bowl or the bowl of the stand mixer with the whip attachment, whip the cream, milk and condensed milk mixture until it thickens slightly. Once the cream has thickened, add the mango puree and whip until well combined into the cream.|Use a loaf pan to set the ice creams in, as they tend to set well inside. Pour the Mango Ice Cream Mixture into the pan and cover it with a cling plastic wrap. Place it in the freezer and freeze for about 8 hours or more until the ice cream is firm and set. |Once set, the Homemade Mango Ice Cream is ready to be served for the holiday parties.|You can serve Homemade Mango Ice Cream Recipe with | for a gathering during tea time.",Archana's Kitchen,Mango Recipes|Ice Cream Recipes,Dessert Recipes
सोया पालक करी रेसिपी - Soya And Spinach Curry Recipe,https://www.archanaskitchen.com/green-soya-and-spinach-curry-recipe-in-hindi,good,533,4.9343339587242," में सोया को पालक की ग्रेवी में पकाया जाता है. पालक पनीर हर घर में बनाया जाता है और सब इसे पसंद भी करते है, इस सब्ज़ी में हमने पनीर की जगह सोया का प्रयोग किया है. सोया में प्रोटीन की मात्रा अधिक होती है इसलिए इसे रोज के खाने के लिए बनाना चाहिए।   को तवा पराठा,   और सात्विक गाजर स्प्राउट्स सलाद के साथ दिन के खाने के लिए परोसे। आप अपने रोज के खाने के लिए यह सब्जिआ भी बना सकते है,",North Indian Recipes,Side Dish,High Protein Vegetarian,20 M,30 M,Spinach Leaves (Palak)|Soy Chunks (Nuggets)|Tomatoes|Onion|Garlic|Ginger|Green Chillies|Bajra Flour ( Pearl Millet)|Salt|Garlic|Dry Red Chillies|Sunflower Oil,"सोया पालक करी रेसिपी  बनाने के लिए सबसे पहले एक सॉसपैन में पानी गरम करें। इसमें थोड़ा नमक और सोया डाले। Boil सोया नरम होने तक पका ले. सोया में से अच्छी तरह पानी निकाल ले और दोनों पानी और सोया को अलग से रख ले.  |अब एक कढ़ाई में तेल गरम करें। इसमें प्याज, अदरक, लहसुन, हरी मिर्च डाले और प्याज के नरम होने तक पका ले. |प्याज के नरम होने के बाद इसमें टमाटर, नमक, काली मिर्च, पालक डाले।|कढ़ाई को ढके और पालक और टमाटर के नरम होने तक पका ले. गैस बंद करें और इस मिश्रण को ठंडा होने दे. |ठंडा होने के बाद इस मिश्रण को बाजरे के आटे के साथ मिक्सर ग्राइंडर में डाले और पीस ले. |अब एक कढ़ाई में तेल गरम करें। इसमें पीसी हुई पालक की प्यूरी और सोया डाले। नमक, 1/2 कप सोया का पानी और 1 बड़ा चमच्च दही डाले।|मिला ले और 5 से 7 मिनट तक पकने दे. पकने के बाद एक बाउल में निकाल ले.|अब तड़के के लिए एक तड़का पैन में 1 बड़ा चमच्च तेल गरम करें। इसमें लहसुन डाले और भूरा होने तक पका ले. भूरा होने के बाद इसमें सुखी लाल मिर्च डाले और 10 सेकण्ड्स के लिए पका ले.|गैस बंद करें और इस तड़के को ग्रेवी में डाले और मिला ले. गरमा गरम परोसे. |सोया पालक करी को तवा पराठा, | और सात्विक गाजर स्प्राउट्स सलाद के साथ दिन के खाने के लिए परोसे।",Archana's Kitchen,High Protein Vegetarian Diet Recipes|Vegetarian Recipes|Indian Lunch Recipes|Spinach Recipes (Palak/Keerai)|Healthy Recipes|Indian Diabetic Recipes|Dahi Recipes (Curd/Yogurt)|Soya Recipes,Sabzi Recipes
Pudina Rice Recipe,https://www.archanaskitchen.com/pudina-rice-recipe,good,2694,4.8630289532294,"The Pudina Rice Recipe also known as Mint Pulao is a refreshing dish made from mint leaves. The Pudina Rice is among the all-time favorites dishes of my kids and makes its way into the lunch box with ease along with bowl of yogurt. The addition of pudina makes this rice dish nutritious as well. Serve Pudina Rice along with   or   and   for your lunch or you can also pack it in your lunch box. If you like this recipe, you can also try other Rice recipes such as",South Indian Recipes,Lunch,Vegetarian,10 M,40 M,Rice|Mint Leaves (Pudina)|Green Chillies|Onion|Oil|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Salt,"To begin making the Pudina Rice Recipe, we first have to cook the rice. I most often like to use a day old rice for making Pudina rice, but you can cook fresh rice as well.|Cook the rice with 2 cups of water along with a little salt and a tablespoon of oil until all the water is absorbed. Allow the cooked rice to rest for a while and use it to make the Pudina Rice only after it has completely cooled down.|Or to cook rice in a pressure cooker follow |.|while the rice is cooling we will make the pudina masala.|Wash the pudina leaves. Using a |, grind the pudina leaves along with the green chillies and tamarind into a smooth paste.|Heat the oil on medium heat; add the mustard seeds and allow it to crackle. Stir in the urad dal and roast it until it turns light golden brown. Add the onions and saute until the onions turn translucent.|Once done add the ground pudina mixture and salt. Give it a stir and let it cook for 5 minutes until the mixture turns a little thick. Turn off the heat and finally stir in the cooked rice to this mixture until well combined. Check the salt and spice levels and adjust to suit your taste.|Transfer Pudina Rice into a serving bowl.|Serve Pudina Rice along with | or | and | for your lunch or you can also pack it in your lunch box.",Archana's Kitchen,South Indian Recipes|Office Lunch Box Recipes|Healthy Recipes|Kids Lunch Box Recipes|Summer Recipe Ideas,Variety Rice (Mixed Rice/ Flavoured Rice Recipes)
मसाला छास रेसिपी - Masala Chaas Recipe,https://www.archanaskitchen.com/masala-chaas-recipe-indian-spiced-buttermilk-in-hindi,good,269,4.9814126394052, को राजस्थानी दाल बाटी चूरमा और मिर्ची के छुँदे के साथ दिन के खाने के लिए परोसे। आप इसे दिन में खाने के बाद भी पी सकते है. ,Indian,Snack,Vegetarian,10 M,0 M,दही|जीरा पाउडर|चाट मसाला पाउडर|काला नमक या सेंधा नमक|अदरक|हरी मिर्च|काली मिर्च पाउडर|हींग|नमक|पुदीना|हरा धनिया|पानी,"मसाला छास रेसिपी बनाने के लिए सबसे पहले एक बाउल में दही, जीरा पाउडर, चाट मसाला पाउडर, काला नमक, अदरक, हरी मिर्च, काली मिर्च पाउडर, हींग, नमक, ठंडा पानी डाले और ब्लेनडर की मदद से अच्छी तरह ब्लेंड कर ले.  |ब्लेंड करने के बाद छास को ग्लॉस में डाले। |ऊपर से धनिया और पुदीना डाले और मिला ले. (अगर आप चाहे तो पुदीना को पीस कर के भी दाल सकते है.|मसाला छास को राजस्थानी दाल बाटी चूरमा और मिर्ची के छुँदे के साथ दिन के खाने के लिए परोसे। आप इसे दिन में खाने के बाद भी पी सकते है.",Archana's Kitchen,Indian Lunch Recipes|Dahi Recipes (Curd/Yogurt)|Summer Recipe Ideas|Party Drink Recipes|Buttermilk Recipes,Indian Drink Recipes
Masala Chaas Recipe - Indian Spiced Buttermilk,https://www.archanaskitchen.com/masala-chaas-flavored-buttermilk,good,3535,4.8421499292786,"If you like this recipe, you can also try other B  that you can include in your meal:",Indian,Snack,Vegetarian,10 M,0 M,Cumin powder (Jeera)|Chaat Masala Powder|Black Salt (Kala Namak)|Ginger|Green Chilli|Black pepper powder|Asafoetida (hing)|Salt|Mint Leaves (Pudina)|Coriander (Dhania) Leaves|Chilled water,"To begin making the Masala Chaas Recipe take your serving glasses and chill them in freezer for about 5 minutes before serving.|Mix all ingredients including curd, cumin powder, chaat masala powder, black salt, ginger, green chilli, black pepper powder, asafoetida, salt, chilled water except coriander leaves and mint leaves. Use a hand blender until everything is mixed and is smooth.|If desired – Take your panchajiri / chaat masala / Jeeralu in a plate. Now dip the rim of your chilled glass on it making sure that the masala is coated around the edge of the glass rim. This gives an interesting look on the presentation and makes it even tastier.|Pour the Masala Chaas into your glasses. Top with chopped coriander leaves and mint leaves. You can also put in mint as a stirrer.|Serve Masala Chaas Recipe along with |, |and | for a weekend lunch.",Archana's Kitchen,Indian Lunch Recipes|Dahi Recipes (Curd/Yogurt)|Summer Recipe Ideas|Party Drink Recipes|Buttermilk Recipes,Indian Drink Recipes
Samosas with Spinach & Cottage Cheese Filling,https://www.archanaskitchen.com/vegetable-samosas-with-spinach-crust,good,1738,4.7451093210587,The Samosas with Spinach & Cottage Cheese Filling recipe is a delicious snack that can be served as a tea time snack along with some ginger chai or as an appetizers for your parties. Serve it along with a Green Mint Chutney and Date Tamarind Chutney as dips to go along with these samosas. Here are more snack recipes to try,Indian,Snack,Vegetarian,20 M,40 M,Whole Wheat Flour|Sooji (Semolina/ Rava)|Ajwain (Carom seeds)|Salt|Water|Spinach|Green Chillies|Chaat Masala Powder|Salt|Sunflower Oil,"Prepare the dough by mixing together the flour, salt, ghee and ajwain/ carom seeds to form a mixture of coarse crumbs. Add in water to the dough a little at a time to make a soft and firm dough. Once the dough comes together knead it continuously for 2-3 minutes and cover it with a moist muslin cloth. Allow the dough to rest for about 15-20 minutes.|Heat oil in a pan; add in the chopped spinach and saute on high heat until the spinach softens. Once the spinach has softened and all the water is evaporated, turn off the heat. Allow the spinach to cool completely.|Once the spinach has cooled combined all the filling ingredients along with the sauteed spinach. Check the salt and spice levels and adjust to suit your taste. Keep this aside.|Fill a small cup with water and keep aside; this will be used for sealing the edges of the cone. On a floured surface, roll each portion into 3 inch diameter circle and cut each circle into half.|Spread the water lightly all along the edge of the circle.|Place one or two tablespoons of spinach paneer filling in the center and fold the circle into half to make a half moon shape. Press to seal the edges of the samoas and use a fork and press on the edges of the dough to get the forked marks. Continue to make similar filled half moon shaped samosas.|Heat oil in a heavy bottomed pan for deep frying on medium heat; gently slip in a couple of samosas into the frying pan and allow them to fry on medium heat. Turn the samosas around in the oil once they come floating to the top.|Fry them till they turn into a light golden-brown color on all sides. Keep the heat on medium all along. High heat can brown the crust faster but not make the crust crispier. Continue the procedure with the remaining filled cones and drain them on absorbent paper.|If you plan to bake the Spinach Paneer Samosa; preheat the oven to 200 C. Arrange the samosas on a baking tray, brush the samosa with more ghee or oil on all sides.|Place the filled samosas in the preheated oven and cook for 10-15 minutes. The samosas need to be turned once or twice during baking. Bake them until they are evenly browned on all sides.|Once done, remove them from the oven and allow it to stand for about 5 minutes before serving Spinach and Paneer Samosas hot with tomato sauce, | or |.",Archana's Kitchen,Paneer Recipes|Diwali Recipes|Festival Recipes|Party Starter & Appetizer Recipes|Sooji Recipes (Rava/ Semolina)|Samosa Recipe,Indian Snack Recipes
Avalakki Bisi Bele Bhat Recipe,https://www.archanaskitchen.com/avalakki-bisi-bele-bhaat,good,1799,4.8810450250139,"Avalakki Bisi Bele Bhat is a super simple recipe of making the classic south indian dish using aval, also known as poha or beaten rice. The Avalakki Bisi Bele Bhat is a wholesome, hearty & delicious recipe that has the goodness of all the vegetables and lentils along with the good carbs combined into one dish. Serve Avalakki Bisi Bele Bhat along with  and some Namkeen for a light and tasty weekday lunch or dinner. If you like this recipe, you can also try other Rice recipes such as",South Indian Recipes,Lunch,Vegetarian,15 M,60 M,Poha (Flattened rice)|Arhar dal (Split Toor Dal)|Mixed vegetables|Dry coconut (kopra)|Tomatoes|Jaggery|Water|Salt|Sesame (Gingelly) Oil|Mustard seeds|White Urad Dal (Split)|Curry leaves|Asafoetida (hing)|Raw Peanuts (Moongphali)|Onion,"Cook toor dal along with a pinch of turmeric with just enough water to avoid the dal turning out to be mushy.|Steam all the veggies. Make sure they are not over cooked.|Wash the avalakki and set aside.|Chop the tomatoes and the onion and set aside for later use.|Heat a | with a teaspoon of sesame oil. Add the steamed vegetables, Bisi Bele Bhat powder and the tamarind paste. Stir all the ingredients together. If this mixture seems very dry you can add quarter to half a cup of water to it. Simmer this mixture for about 5 minutes. |Now add the cooked dal, washed avalakki, dry coconut, chopped tomatoes, jaggery powder, salt and the 3 cups of water. Cover the pan, turn the heat to medium and simmer for 15 minutes.|Towards the end of the simmering time, stir in the 2 tablespoons of ghee. The consistency of the dish at this point should be little watery and not thick. Turn the heat to low.|We will now get the seasoning ready by heating the oil in a small pan. Add mustard seeds, let it crackle, then add urad dal. Once the dal turns a little brown add the curry leaves and asafoetida. Then add the peanuts or cashew nuts and roast for a couple of minutes. Finally add the onions and saute till translucent.|Add this seasoning mixture to the the avalakki bisi bele bath and give it a nice stir. Turn the heat off. Close the pan and allow the dish to rest for 10 minutes. |Notes: The more time this dish sits it tends to get dry and thick. So even if its consistency is a tad more watery at the time you finish cooking it, by the time it is served it'll be easy on the palate.|Serve Avalakki Bisi Bele Bhat along with |and some Namkeen for a light and tasty weekday lunch or dinner.",Archana's Kitchen,Indian Lunch Recipes|Healthy Recipes,Variety Rice (Mixed Rice/ Flavoured Rice Recipes)
Karnataka Style Guliappa Recipe (Gundponglu/Paniyaram/Paddu),https://www.archanaskitchen.com/guliappa-gundponglu-paniyaram-paddu,good,9549,4.8740182218033,"Guliappa also known as Gundponglu or Paniyaram or Paddu is a delicious breakfast dish that is made from the dosa batter. If you are tired of having just dosa's, this is a great dish to bring flavors and textures. They are bite sized and make a great snack box for children as well. Serve Karnataka Style Guliappa Recipe (Gundponglu/Paniyaram/Paddu) with   or   for breakfast on evening snack with tea. If you like this recipe, take a look at more Karnataka style recipes that you can also try",Karnataka,South Indian Breakfast,Vegetarian,15 M,30 M,Pearl onions (Sambar Onions)|Green Chillies|Coriander (Dhania) Leaves|Cumin (Jeera) seeds|Asafoetida (hing)|Salt,"To begin making the Karnataka Style Guliappa Recipe, combine all the ingredients together for the paniyaram in a bowl. keep aside|Heat the special | on medium heat. Put a few drops of oil in each cavity of the pan, so that the batter does not stick to the pan.|Spoon the batter into each of the cavities of the pan and cover the pan let the paddus cooks on medium heat, for about 7 to 10 minutes.|You will notice the top is steamed and looked cooked. When the top looks cooked, turn the paddus with help of a small spoon.|Allow it to cook uncovered for another couple of minutes. Remove from the heat and follow the same procedure with the rest of batter.|Serve Karnataka Style Guliappa Recipe (Gundponglu/Paniyaram/Paddu) with | or | for breakfast on evening snack with tea.",Archana's Kitchen,South Indian Recipes|Healthy Recipes|Breakfast Recipe Ideas|South Indian Breakfast Recipes|One Dish Recipes|Karnataka Recipes,Paniyaram Recipes
Bengali Bhog Khichuri Recipe - Bengali Khichdi Using Electric Pressure Cooker,https://www.archanaskitchen.com/bengali-bhog-khichuri-bengali-khichdi,good,2534,4.7020520915549,"“Bengali Bhog Khichuri” is a traditional version of Khichdi which basically is a mixture of rice and pulses cooked together. This particular recipe is a popular Bengali cuisine which is often made during pooja or special occasions and offered as Prasadam to Maa Durga. The specialty of this Khichdi is the rice used in it. It’s special rice which is known as “Gobindo bhog” and is jam packed with fragrance. In case you don’t have this rice available with you, any choice of rice should be fine. Another specialty of this Khichdi is that there is no use of onion or garlic in it. You can add various vegetables such as potatoes, cauliflower, green peas, carrots, etc or just keep it simple as in this recipe.  Serve the Bengali Bhog Khichuri hot along with papad,   and   for a weeknight dinner. If you like this recipe, you can also try other Rice recipes such as",Bengali Recipes,Lunch,Vegetarian,15 M,30 M,Gobindobhog Rice|Yellow Moong Dal (Split)|Mustard oil|Cumin seeds (Jeera)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)|Cloves (Laung)|Bay leaves (tej patta)|Dry Red Chillies|Ginger|Potatoes (Aloo)|Cauliflower (gobi)|Fresh coconut|Turmeric powder (Haldi)|Cumin powder (Jeera)|Salt,"To prepare Bengali Bhog Khichuri Recipe, heat a shallow frying pan,on medium flame and  dry roast dal in a kadai for about 3 to 4 minutes or until the dal starts to spread aroma around.|Once the dal turns light golden brown, remove from heat. Wash it and soak it in water for 15 minutes and keep aside.|Turn on the saute mode in the electric pressure cooker and allow the pan to preheat for 3 to 4 minutes.|Once the pan has heated; add the mustard oil and the dry spices like cumin seeds, cinnamon, cardamom, cloves, bay leaves and red chilli.|Saute for a few seconds until you can smell the aromas coming through. |Add the ginger, turmeric powder, cumin powder, garam masala powder, washed rice, soaked dal, potatoes, cauliflower, salt to taste and 3 cups of water.|Cover the pressure cooker, change the mode to the Khichdi mode and allow the pressure cooker to cook until it goes into keep warm mode.|Once, the red nozzle of pressure cooker comes down, you can open the cooker and serve the Bengali Bhog Khichuri Recipe hot for lunch or dinner.|Serve the Bengali Bhog Khichuri hot along with papad, | and | for a weeknight dinner. ",Archana's Kitchen,Aloo Recipes (Potato & Baby Potato Recipes)|Navratri Recipes|Bengali Recipes|Electric Pressure Cooker Recipes (Instant Pot),Khichdi Recipes
Carrot Badam Kheer Recipe - Carrot Almond Milk Pudding,https://www.archanaskitchen.com/carrot-kheer-carrot-milk-pudding,good,2209,4.8637392485287," is a delicious milk pudding that can be had either warm or cold. The addition of milk, carrots and dates makes this kheer very nutritious and wholesome too. It is extremely simple to make, and with no added sugars, it is delicious and healthy too. Make it for a festive occasion or even for a nutritious treat post a weekend meal. Serve   after your delicious festive meal of  ,  ,  and  . If you like this recipe, you can also try other   that you can make during festivals:",North Indian Recipes,Dessert,Vegetarian,20 M,30 M,Carrots (Gajjar)|Badam (Almond)|Dates|Milk|Saffron strands,"To begin making the Carrot Badam Kheer recipe, we will get the almonds ready. Soak the almonds in warm water for about half an hour. After half an hour, you will notice the skin has become tender and will slip your easily. Remove the skin from the almonds.|Our next step is to blend all the ingredients in a blender. |Add the carrots, almonds dates into the blender. Add a little milk at a time and blend to make a smooth puree. Once the mixture is smooth, add the remaining milk and blend again.|Transfer the carrot badam kheer to a heavy bottomed sauce pan. Turn the heat on to medium high and give it a brisk boil. Adjust the consistency by adding water or more milk to suit your taste.|Turn off the heat and set aside or transfer to a serving bowl.|For the tempering, heat the ghee in a small pan; add the cashew nuts or almonds and roast them until golden brown. Stir in the roasted nuts into the above carrot kheer.|Serve Carrot Badam Kheer after your delicious festive meal of |, |, |and |.",Archana's Kitchen,Carrot Recipes|Festival Recipes|Payasam Recipes & Kheer Recipes|Almond Recipes|Dussehra Festival Recipes,Sweet Recipes (Indian Mithai / Indian Dessert)
Sweet and Sour Vegetable Recipe with Tofu & Brown Rice,https://www.archanaskitchen.com/sweet-and-sour-tofu-with-vegetables,good,436,4.9266055045872," is a delicious combination of tofu, vegetables in a sweet and sour sauce that makes a wholesome weeknight dinner. The best part about the recipe is the simple ingredients and can be made under 30 minutes. The sauce is comprised mainly of everyday ingredients and is extremely easy to make.  Serve the Sweet and Sour Vegetable Recipe with Tofu & Brown Rice along with  . If you like this recipe, try more recipes like",Asian,Side Dish,High Protein Vegetarian,20 M,40 M,Tofu|Onion|Carrots (Gajjar)|Green Bell Pepper (Capsicum)|Dry Red Chilli|Sesame (Gingelly) Oil|Spring Onion (Bulb & Greens)|Ginger|Garlic|Paprika powder|Whole Black Peppercorns|Brown Sugar (Demerara Sugar)|Basil leaves|Salt,"To begin making the Sweet and Sour Vegetable Recipe with Tofu & Brown Rice we will first prepare the sauce. |In a small bowl, combine the tamarind paste, soy sauce, paprika, black pepper powder, brown sugar and basil leaves. Add a cup of water and whisk the ingredients well. Keep this aside.|Heat a teaspoon of oil in a saucepan; add in the spring onions, ginger and garlic. Stir fry for a couple of minutes until the onions have softened and you can smell the aroma. Once the onions have softened add in the above sauce mixture and give the sauce a quick boil. Once it begins to boil, turn the heat to low and simmer the sauce while we get the vegetable ready.|Heat a teaspoon of oil in a wok and pan fry the tofu till the tofu becomes golden brown in color. Once done remove from the wok and keep aside. |Now into the same wok add in all the vegetables like the carrots, green bell peppers. Sprinkle some salt and stir fry on high heat until the vegetables are slightly tender. Pour in the simmering sauce into the vegetables and stir to combine. |Once the sweet and sour vegetables comes to a boil, stir in the tofu and turn off the heat. Transfer the curry to a serving bowl. Top it up on freshly prepared hot steamed brown rice.|Serve the Sweet and Sour Vegetable Recipe with Tofu & Brown Rice along with |.",Archana's Kitchen,Party Food Recipes|High Protein Vegetarian Diet Recipes|Healthy Recipes|Gluten Free Recipes|Tofu Recipes,Indian Chinese Recipes
